텃밭아이디,운영주체,텃밭명,시도코드,시도명,시군구코드,시군구명,주소,실제전체면적,실제분양면적,홈페이지,모집기간,부대시설,신청방법,분양가격,위도좌표,경도좌표,등록일자,수정일자
"294","지자체/공영주말농장","초안산 생태공원 나눔텃밭","1","서울특별시","10","도봉구","서울특별시 도봉구 창동 산157","320","10"," "," ","쉼터","홈페이지, 전화","무료","37.6479204878304","127.045421891584","20160119",20170112
"318","지자체/민영주말농장","여울농장","1","서울특별시","14","서대문구","경기도 양주시 장흥면 삼상리  446-12","2475","16.5"," "," ","주차장, 화장실 등","이메일, 전화, 방문신청","60,000","37.6882023707547","126.930435159314","20160119",20170113
"317","지자체/민영주말농장","지도농장","1","서울특별시","14","서대문구","경기도 고양시 덕양구 내곡동 104-3","2475","16.5"," "," ","주차장, 화장실 등","이메일, 전화, 방문신청","60000","37.6388316943655","126.809969115063","20160119",20170112
"342","지자체/공영주말농장","꽃초롱텃밭","1","서울특별시","15","서초구","서울특별시 서초구 내곡동 287","1084","14"," "," ","주차장","홈페이지","70000","37.4605103418347","127.063137536324","20160119",20170112
"346","지자체/민영주말농장","남태령주말농장","1","서울특별시","15","서초구","서울특별시 서초구 방배동 산 139","2310","16.5"," "," ","화장실, 주차장","개별신청","100,000","37.4678431764916","126.993853352588","20160119",20170113
"381","지자체/민영주말농장","내곡주말농장","1","서울특별시","15","서초구","서울특별시 서초구 내곡동 1-276","1433","16.5"," "," ","화장실, 주차장, 식수대","전화","200000","37.4575492345094","127.08253982779","20160119",20170112
"347","지자체/민영주말농장","대원농장","1","서울특별시","15","서초구","서울특별시 서초구 원지동 227","19011","9.9"," "," ","화장실, 주차장, 식수대","홈페이지","130000","37.4514784450648","127.047610734193","20160119",20170112
"349","지자체/민영주말농장","서초농장","1","서울특별시","15","서초구","서울특별시 서초구 신원동 221-2","1650","8"," "," ","화장실, 주차장","개별신청","100000","37.4459824946736","127.059142926458","20160119",20170112
"339","지자체/공영주말농장","신흥텃밭","1","서울특별시","15","서초구","서울특별시 서초구 내곡동 1-16","1600","16"," "," ","화장실, 주차장","홈페이지","100000","37.4587992491747","127.082794257588","20160119",20170112
"341","지자체/공영주말농장","안골텃밭","1","서울특별시","15","서초구","서울특별시 서초구 내곡동 305","2086","14"," "," ","화장실, 주차장","홈페이지","70000","37.4619396273865","127.063777388906","20160119",20170112
"352","지자체/민영주말농장","진주농장","1","서울특별시","15","서초구","서울특별시 서초구 원지동 254","660","9.9"," "," ","화장실","개별신청","80000","37.454061901107","127.049765457722","20160119",20170112
"340","지자체/공영주말농장","청룡텃밭","1","서울특별시","15","서초구","서울특별시 서초구 신원동 225","10989","14"," "," ","화장실, 주차장","홈페이지","100000","37.4471175378184","127.060101433172","20160119",20170112
"343","지자체/민영주말농장","칠성농원","1","서울특별시","15","서초구","서울특별시 서초구 원지동 산 34-1","760","13.2"," "," ","화장실, 주차장","개별신청","120000","37.4439256207862","127.05518474977","20160119",20170112
"278","지자체/공영주말농장","무지개텃밭","1","서울특별시","16","성동구","서울특별시 성동구 행당동 76-3","8100","12"," "," ","관리사무시, 창고, 급수(수도)시설,원두막,주차장,화장실 등","홈페이지","60,000","37.5540758718336","127.04099104201","20160119",20170113
"286","지자체/공영주말농장","길음뉴타운주말농장","1","서울특별시","17","성북구","서울특별시 성북구 길음동 1285-8","1945","6"," "," ","원두막,자재창고","서류신청","60천원","37.6088893344277","127.019686719687","20160119",20160112
"285","지자체/공영주말농장","석관동텃밭","1","서울특별시","17","성북구","서울특별시 성북구 석관동 14-5","563","6"," "," ","주차장, 화장실","서류신청","무료","37.6106307198236","127.069320185364","20160119",20170112
"284","지자체/공영주말농장","정릉3동텃밭","1","서울특별시","17","성북구","서울특별시 성북구 정릉동 908-4","1446","6"," "," ","자재창고","서류신청","0","37.6038854498602","127.000553728378","20160119",20160112
"356","지자체/공영주말농장","솔이텃밭","1","서울특별시","18","송파구","서울특별시 송파구 방이동 445-18","4770","10"," "," ","교육장, 창고, 쉼터, 화장실","홈페이지","60000","37.5081898632688","127.139722990944","20160119",20170112
"359","개인","오륜농장","1","서울특별시","18","송파구","서울특별시 송파구 방이동  444-14","9900","16"," "," ","-","홈페이지","60천원","37.5089561520416","127.138971648368","20160119",20160112
"360","개인","태현텃밭","1","서울특별시","18","송파구","서울특별시 송파구 방이동 436-52","8250","17"," "," ","-","홈페이지","170천원","37.5136702361853","127.141930523621","20160119",20160112
"322","지자체/민영주말농장","신정자연주말농장","1","서울특별시","19","양천구","서울특별시 양천구 신월동 728-9","12800","16.5"," "," ","농기구 창고 등","전화","100000","37.5118472989778","126.825812584159","20160119",20170112
"321","지자체/민영주말농장","지양주말농장","1","서울특별시","19","양천구","서울특별시 양천구 신월동 350-42","3960","16.5"," "," ","농기구 창고 등","전화","100000","37.5157350232541","126.824332494252","20160119",20170112
"364","지자체/민영주말농장","둔촌유기농텃밭2","1","서울특별시","2","강동구","서울특별시 강동구 둔촌동 120-2","4005","16"," "," ","화장실, 식수대, 주차장","전화","140000","37.5246609861936","127.145335580828","20160119",20170112
